comment,chat_luong,dong_goi,van_chuyen,gia_ca,overall
"Chất đẹp, hình in đẹp, không chỉ thừa, phục vụ tốt",positive,positive,positive,neutral_positive,positive
"Giao nhanh, đóng gói cẩn thận, đồ xinh, giá hợp lý",positive,positive,positive,positive,positive
"Chất áo mềm mịn, mặc ấm, giá rẻ, tư vấn nhiệt tình",positive,positive,positive,positive,positive
"Áo dày dặn, form đẹp, vải mịn, săn sale rất đáng",positive,neutral_positive,positive,positive,positive
"Vải dày nhưng mát, màu đẹp, giao nhanh",positive,neutral_positive,positive,neutral_positive,positive
"Form chuẩn, chất lượng tốt, giá hợp lý, ship nhanh",positive,neutral_positive,positive,positive,positive
"Chất liệu mềm, form đẹp, đường may chắc chắn, đáng tiền",positive,neutral_positive,neutral_positive,positive,positive
"Đóng gói kỹ, giao nhanh, chất mát, màu đẹp",positive,positive,positive,neutral_positive,positive
"Quần đứng form, dày dặn, mặc đẹp",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải mát, form đẹp, shop gửi cực nhanh",positive,neutral_positive,positive,neutral_positive,positive
"Vải mềm nhẹ, form rộng thoải mái, giá hợp lý",positive,neutral_positive,neutral_positive,positive,positive
"Vải mịn mát, đóng gói cẩn thận, giao nhanh",positive,positive,positive,neutral_positive,positive
"Form chuẩn, vải thoáng, giá hợp lý",positive,neutral_positive,neutral_positive,positive,positive
"Quần mát, giá rẻ, giao nhanh",positive,neutral_positive,positive,positive,positive
"Form đẹp, màu đẹp, đóng gói chỉnh chu, giao nhanh",positive,positive,positive,positive,positive
"Vải đẹp, đường may chỉnh chu, đóng gói cẩn thận",positive,positive,positive,neutral_positive,positive
"Vải mềm mát, mặc thoải mái",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Giao nhanh, đóng gói chỉnh chu, không chỉ thừa",positive,positive,positive,neutral_positive,positive
"Vải mát, sale rẻ, hỗ trợ đổi size nhanh",positive,neutral_positive,positive,positive,positive
"Giao nhanh, đóng gói cẩn thận, mặc đẹp",positive,positive,positive,neutral_positive,positive
"Sản phẩm đúng mô tả, mặc fit đẹp, tư vấn nhiệt tình",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Chất vải mềm mịn, giao nhanh, đóng gói cẩn thận",positive,positive,positive,neutral_positive,positive
"Vải mềm co giãn tốt, quần đẹp",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Form đẹp, vải dày dặn, thấm hút tốt",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Giao nhanh, vải dày dặn, màu xinh",positive,neutral_positive,positive,neutral_positive,positive
"Form đẹp, giá phù hợp, mặc thoải mái",positive,neutral_positive,neutral_positive,positive,positive
"Giá rẻ, vải ổn, không bị lộ",positive,neutral_positive,neutral_positive,positive,positive
"Quần rộng rãi, mặc mát thoải mái",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải mềm thoáng mát, phù hợp mùa hè",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Đúng size, mặc thoải mái, giá ổn",positive,neutral_positive,neutral_positive,positive,positive
"Quần xinh, giá rẻ, shipper thân thiện",positive,neutral_positive,positive,positive,positive
"Giao khá nhanh, giá rẻ, form đẹp",positive,neutral_positive,positive,positive,positive
"Giá sale hời, form đẹp, co giãn thoải mái",positive,neutral_positive,neutral_positive,positive,positive
"Quần đẹp, mặc tôn dáng, thơm dễ chịu",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Màu đẹp, cạp chun mềm, mặc thoải mái",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Chất liệu ổn, mặc thoải mái",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải mát co giãn, chất lượng tốt so với giá",positive,neutral_positive,neutral_positive,positive,positive
"Quần đẹp, đóng gói kỹ, có mùi thơm dễ chịu",positive,positive,neutral_positive,neutral_positive,positive
"Form xinh, vải vừa phải, mặc thoải mái",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải mềm mát, mặc thoải mái, form đẹp cho người đùi to",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Săn sale rẻ, chất lượng ổn, không chỉ thừa",positive,positive,neutral_positive,positive,positive
"Form tôn dáng, màu đúng hình, mặc đẹp",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải mát, màu dễ thương, đóng gói cẩn thận, có quà tặng",positive,positive,neutral_positive,neutral_positive,positive
"Quần xinh, mặc đẹp, chất lượng ổn",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải mềm co giãn tốt, form chuẩn, giá hợp lý",positive,neutral_positive,neutral_positive,positive,positive
"Vải mềm, co giãn tốt, đường may chắc chắn, mặc thoải mái",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Size vừa đẹp, mặc thoải mái",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Giao nhanh, đóng gói chắc chắn, mặc đẹp",positive,positive,positive,neutral_positive,positive
"Quần mỏng nhẹ, mặc mát, hợp đi biển, màu hơi khác ảnh",neutral_positive,neutral_positive,neutral_positive,neutral_negative,neutral_positive
"Màu đẹp hơn ngoài đời, hơi rộng nhẹ",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Form đẹp, mặc thoải mái, vải mềm",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Màu xinh, vải mềm, form tôn dáng",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Chất liệu tốt, màu tươi, mặc thoải mái",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải mềm, mặc thoải mái, có giấy thơm",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải thoáng mát, dày dặn, nam nữ đều mặc được",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Chất lượng tốt, giá hợp lý, giao nhanh, hỗ trợ nhiệt tình",positive,positive,positive,positive,positive
"May chắc chắn, co giãn tốt, form đẹp, đáng mua",positive,neutral_positive,neutral_positive,positive,positive
"Co giãn tốt, ống rộng, giá hợp lý",positive,neutral_positive,neutral_positive,positive,positive
"Quần đẹp, thơm, mặc thoải mái",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Đúng mô tả, giao nhanh, đóng gói chắc chắn",positive,positive,positive,neutral_positive,positive
"Thiết kế đẹp, giá hợp lý, hỗ trợ nhanh",positive,neutral_positive,neutral_positive,positive,positive
"Áo đẹp, vải mát, ship nhanh, tư vấn nhiệt tình",positive,neutral_positive,positive,neutral_positive,positive
"Mặc thoải mái, bền, vẫn đẹp sau thời gian dài",positive,neutral_positive,neutral_positive,positive,positive
"Chất lượng vượt mong đợi, giao nhanh, đáng tiền",positive,positive,positive,positive,positive
"Vải mềm, đường may đẹp, mặc mát",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Quần đẹp, shop hỗ trợ nhiệt tình",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải mát, không mỏng, không dễ nhăn",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Săn sale giá rẻ, form đẹp, mặc thoải mái",positive,neutral_positive,neutral_positive,positive,positive
"Ít chỉ thừa, chất vải đồng đều, quần xinh",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Quần đẹp, đóng gói chỉnh chu, có giấy thơm",positive,positive,neutral_positive,neutral_positive,positive
"Vải mềm mịn, đóng gói kỹ, giao cực nhanh",positive,positive,positive,neutral_positive,positive
"Giao siêu nhanh, đóng gói cẩn thận, đáng tiền",positive,positive,positive,positive,positive
"Quần rộng rãi, mềm mại, không bị lộ",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Form đẹp, mặc thoải mái, mua lại nhiều lần",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Không mỏng không dày, form mới đẹp hơn trước",positive,neutral_positive,neutral_negative,neutral_positive,positive
"Mặc ngủ thoải mái, ống rộng dễ mặc",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Giao đúng size, đóng gói tốt, màu đẹp",positive,positive,positive,neutral_positive,positive
"Quần co giãn thoải mái, may chắc chắn",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Thiết kế gọn, chất liệu chắc chắn, giá hợp lý",positive,neutral_positive,neutral_positive,positive,neutral_positive
"Màu nhã nhặn, mặc ok, đáng mua",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải kate dày dặn, đứng form, loại có túi dày hơn",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Không dày không mỏng, form rộng đẹp, mặc đi chơi ổn",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Form vừa đẹp, size dễ chọn",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Mặc siêu thoải mái, mua nhiều lần vẫn ưng",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Phom dáng đẹp, giá phải chăng",positive,neutral_positive,neutral_positive,positive,positive
"Áo polo mềm, form đứng dáng, giá hợp lý",positive,neutral_positive,neutral_positive,positive,positive
"Vải mềm, size vừa vặn, giặt không biến dạng",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải mềm mịn, form đẹp, giao nhanh, đóng gói cẩn thận",positive,positive,positive,neutral_positive,positive
"Vải mềm thoáng, mặc dễ chịu",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Quần mát, giá rẻ, mặc ở nhà thoải mái",positive,neutral_positive,neutral_positive,positive,positive
"Màu đẹp, vải ok, giá hợp lý, có giấy thơm",positive,neutral_positive,neutral_positive,positive,positive
"Chăm sóc khách hàng tốt, sản phẩm đáng tiền",positive,neutral_positive,neutral_positive,positive,positive
"Đúng mô tả, đóng gói chắc chắn, giá hợp lý",positive,positive,positive,positive,positive
"Vải mát mềm, không nhăn, mau khô",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Quần dễ mặc, giá rẻ",positive,neutral_positive,neutral_positive,positive,positive
"Form đẹp, chất liệu ổn, giá rẻ",positive,neutral_positive,neutral_positive,positive,positive
"Đóng gói chỉnh chu, có giấy thơm và lì xì",positive,positive,neutral_positive,neutral_positive,positive
"Form đẹp, không chỉ thừa, shop chu đáo",positive,positive,neutral_positive,neutral_positive,positive
"Đóng gói chỉnh chu, giao siêu nhanh, tư vấn đúng size",positive,positive,positive,neutral_positive,positive
"Form thoải mái, mặc ngủ hay tập đều ổn",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải mềm thoáng, giữ form tốt sau giặt",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Giá hợp lý, giao nhanh, đóng gói cẩn thận",positive,positive,positive,positive,positive
"Giao siêu nhanh, quần mát nhẹ, màu xinh",positive,neutral_positive,positive,neutral_positive,positive
"Màu xinh, form đẹp, giá rẻ",positive,neutral_positive,neutral_positive,positive,positive
"Màu sáng hơn ảnh nhẹ nhưng vẫn đẹp, chun thoải mái",neutral_positive,neutral_positive,neutral_positive,neutral_positive,positive
"Vải dày đẹp, giá rẻ, chất lượng vượt mong đợi",positive,neutral_positive,neutral_positive,positive,positive
"Tẩy trang sạch sâu, dịu nhẹ cho da mụn",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Chất lượng ổn, đóng gói cẩn thận, giá phải chăng",positive,positive,neutral_positive,positive,positive
"Quần đẹp, giá rẻ, có giấy thơm",positive,neutral_positive,neutral_positive,positive,positive
"Giao nhanh, màu đẹp đúng mô tả",positive,neutral_positive,positive,neutral_positive,positive
"Chất liệu tốt, thiết kế đẹp, giá hợp lý",positive,neutral_positive,neutral_positive,positive,positive
"Vải mềm, đường may đẹp, mặc mát",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Mặc đi chơi hay đi biển thoải mái, giá hợp lý",positive,neutral_positive,neutral_positive,positive,positive
"Vải dày dặn, đóng gói có giấy thơm, hơi ngắn nhẹ",positive,positive,neutral_positive,neutral_negative,positive
"Đúng mô tả, giao nhanh, giá hợp lý",positive,positive,positive,positive,positive
"Vải đẹp, đóng gói chỉnh chu, có giấy thơm",positive,positive,neutral_positive,neutral_positive,positive
"Chất liệu dày dặn, màu đẹp, dễ phối",positive,neutral_positive,neutral_positive,neutral_positive,positive
"Mặc bền, không bung chỉ sau 1 năm",positive,neutral_positive,neutral_positive,positive,positive
